productId,title,price,sellerId,Created_at
67183204fc13ae43ba22d1aa,"Disp fx of neck of fifth metacarpal bone, left hand, init",$48.94,tlemon0,5/2/2024
67183204fc13ae43ba22d1ab,"Oth injury of anterior tibial artery, unspecified leg",$29.70,caarons1,7/25/2024
67183204fc13ae43ba22d1ac,Lesion of plantar nerve,$92.20,tfancy2,3/20/2024
67183204fc13ae43ba22d1ad,"Pedl cyc pasngr injured in clsn w rail trn/veh nontraf, subs",$92.06,dbrotheridge3,4/11/2024
67183204fc13ae43ba22d1ae,"Laceration of body of pancreas, unspecified degree, sequela",$62.99,jribchester4,3/10/2024
67183204fc13ae43ba22d1af,Common variable immunodef w autoantibodies to B- or T-cells,$8.90,recob5,11/1/2023
67183204fc13ae43ba22d1b0,"Occupant (driver) of hv veh injured in unsp traf, subs",$59.10,tsumers6,8/4/2024
67183204fc13ae43ba22d1b1,Corrosion of unspecified degree of right foot,$79.62,calessandrini7,3/4/2024
67183204fc13ae43ba22d1b2,"Enteropathic arthropathies, unspecified hip",$6.41,mbousler8,3/11/2024
67183204fc13ae43ba22d1b3,"Mech compl of intraperitoneal dialysis catheter, init encntr",$88.89,kbostick9,3/17/2024
67183204fc13ae43ba22d1b4,Rheumatoid heart disease w rheumatoid arthritis of left hand,$88.34,mcolhouna,6/22/2024
67183204fc13ae43ba22d1b5,"Lac w/o fb of abd wall, r upper q w/o penet perit cav, init",$2.08,kbonnorb,9/22/2024
67183204fc13ae43ba22d1b6,Underdosing of methadone,$88.26,hbanaszewskic,5/25/2024
67183204fc13ae43ba22d1b7,"Calcifcn and ossifictn of muscles assoc w burns, l up arm",$78.57,aingledewd,6/8/2024
67183204fc13ae43ba22d1b8,Vitreous prolapse,$56.11,ejerschkee,12/5/2023
67183204fc13ae43ba22d1b9,"Follicular lymphoma grade II, intrapelvic lymph nodes",$61.87,rotterwellf,5/31/2024
67183204fc13ae43ba22d1ba,"Poisoning by analeptics and opioid receptor antag, undet",$54.46,mferneleyg,6/7/2024
67183204fc13ae43ba22d1bb,Maternal hypotension syndrome,$62.73,cseggeh,9/1/2024
67183204fc13ae43ba22d1bc,Occupational exposure to unspecified risk factor,$73.48,msauntoni,10/28/2023
67183204fc13ae43ba22d1bd,"Prsn brd/alit hv veh injured in clsn w ped/anml, sequela",$73.26,glambiej,4/22/2024
67183204fc13ae43ba22d1be,"Poisoning by, adverse effect of and underdosing of opium",$11.09,apremblek,4/20/2024
67183204fc13ae43ba22d1bf,"Disp fx of distal phalanx of finger, subs for fx w malunion",$25.42,cstanfieldl,8/9/2024
67183204fc13ae43ba22d1c0,"Oth fx of lower end unsp radius, init for opn fx type 3A/B/C",$21.28,areubbensm,6/9/2024
67183204fc13ae43ba22d1c1,"Burn 2nd deg of unsp site unsp lower limb, ex ank/ft, subs",$84.26,rwhithornn,2/20/2024
67183204fc13ae43ba22d1c2,"Unsp fracture of lower end of unsp tibia, init for clos fx",$79.22,cbrecknallo,8/4/2024
67183204fc13ae43ba22d1c3,Opisthorchiasis,$5.14,hhaylesp,2/27/2024
67183204fc13ae43ba22d1c4,"Other secondary chronic gout, left knee",$0.12,dgobatq,3/4/2024
67183204fc13ae43ba22d1c5,"Superficial foreign body of oth part of neck, subs encntr",$87.45,dkarchewskir,7/20/2024
67183204fc13ae43ba22d1c6,"Toxic effect of contact with venomous toad, assault",$24.97,sescales,5/7/2024
67183204fc13ae43ba22d1c7,"Maternal care for fetal abnlt and damage, unsp, fetus 2",$10.41,cjanuszewiczt,9/9/2024
67183204fc13ae43ba22d1c8,"Complete traumatic amputation of unspecified ear, sequela",$18.69,ddudlestonu,7/8/2024
