Order_Id,buyerId,SellerID,productId,Created_at,total_price
67183275fc13ae41dd22d1ba,99-6805309,57-7652513,67183275fc13ae41dd22d1bb,7/30/2024,$51.12
67183275fc13ae41dd22d1bc,84-9815686,92-9726758,67183275fc13ae41dd22d1bd,4/3/2024,$67.65
67183275fc13ae41dd22d1be,89-4420367,32-2737216,67183275fc13ae41dd22d1bf,11/20/2023,$2.27
67183275fc13ae41dd22d1c0,67-9255691,08-4201032,67183275fc13ae41dd22d1c1,10/4/2024,$1.11
67183275fc13ae41dd22d1c2,02-9502656,07-1653549,67183275fc13ae41dd22d1c3,8/2/2024,$22.42
67183275fc13ae41dd22d1c4,28-2863324,87-9113492,67183275fc13ae41dd22d1c5,7/26/2024,$24.28
67183275fc13ae41dd22d1c6,35-4831262,15-5519943,67183275fc13ae41dd22d1c7,2/3/2024,$68.78
67183275fc13ae41dd22d1c8,33-6922658,82-5737958,67183275fc13ae41dd22d1c9,11/19/2023,$19.56
67183275fc13ae41dd22d1ca,41-2587414,17-9424850,67183275fc13ae41dd22d1cb,6/2/2024,$4.15
67183275fc13ae41dd22d1cc,32-4204405,83-1480057,67183275fc13ae41dd22d1cd,8/11/2024,$72.01
67183275fc13ae41dd22d1ce,61-4497086,12-3642854,67183275fc13ae41dd22d1cf,5/17/2024,$16.00
67183275fc13ae41dd22d1d0,26-6416344,73-0706983,67183275fc13ae41dd22d1d1,7/19/2024,$29.68
67183275fc13ae41dd22d1d2,43-6149166,84-5673305,67183275fc13ae41dd22d1d3,3/16/2024,$87.64
67183275fc13ae41dd22d1d4,30-7562108,71-0883483,67183275fc13ae41dd22d1d5,7/21/2024,$36.94
67183275fc13ae41dd22d1d6,76-9532419,00-3533248,67183275fc13ae41dd22d1d7,7/12/2024,$63.13
67183275fc13ae41dd22d1d8,36-4040509,51-2045919,67183275fc13ae41dd22d1d9,9/22/2024,$73.28
67183275fc13ae41dd22d1da,31-6333475,66-6880822,67183275fc13ae41dd22d1db,4/25/2024,$80.07
67183275fc13ae41dd22d1dc,96-3478672,14-4246856,67183275fc13ae41dd22d1dd,8/22/2024,$78.47
67183275fc13ae41dd22d1de,71-5912941,41-2457052,67183275fc13ae41dd22d1df,1/4/2024,$63.74
67183275fc13ae41dd22d1e0,94-1866914,26-8236967,67183275fc13ae41dd22d1e1,8/8/2024,$75.45
67183275fc13ae41dd22d1e2,92-2050271,12-0267365,67183275fc13ae41dd22d1e3,7/8/2024,$76.58
67183275fc13ae41dd22d1e4,38-4311466,03-6594685,67183275fc13ae41dd22d1e5,1/23/2024,$55.40
67183275fc13ae41dd22d1e6,54-8169886,97-1244499,67183275fc13ae41dd22d1e7,3/24/2024,$33.25
67183275fc13ae41dd22d1e8,08-1602813,82-9691140,67183275fc13ae41dd22d1e9,8/26/2024,$11.06
67183275fc13ae41dd22d1ea,94-2785423,89-4689632,67183275fc13ae41dd22d1eb,5/25/2024,$38.25
67183275fc13ae41dd22d1ec,34-0523114,60-7152181,67183275fc13ae41dd22d1ed,4/24/2024,$21.91
67183275fc13ae41dd22d1ee,89-3676079,71-3890913,67183275fc13ae41dd22d1ef,9/3/2024,$55.56
67183275fc13ae41dd22d1f0,33-5280729,91-6838533,67183275fc13ae41dd22d1f1,12/13/2023,$21.11
67183275fc13ae41dd22d1f2,72-0968494,56-5582316,67183275fc13ae41dd22d1f3,3/28/2024,$55.10
67183275fc13ae41dd22d1f4,96-1456575,30-5548599,67183275fc13ae41dd22d1f5,3/26/2024,$11.71
67183275fc13ae41dd22d1f6,76-6857358,43-6464080,67183275fc13ae41dd22d1f7,2/13/2024,$39.32
67183275fc13ae41dd22d1f8,46-5354670,08-1009931,67183275fc13ae41dd22d1f9,9/5/2024,$29.67
